Sno,Chapter_No,Question,Option A  ,Option B  ,Option C  ,Option D  ,Correct Option,Correct Answer
1,1,The small sections of code that are used to perform a particular task is called,Subroutines,Files,Pseudo code,Modules,A,Subroutines
2,1,Which of the following is a unit of code that is often defined within a greater code structure?,Subroutines,Function,Files,Modules,B,Function
3,1,Which of the following is a distinct syntactic block?,Subroutines,Function,Definition,Modules,C,Definition
4,1,The variables in a function definition are called as,Subroutines,Function,Definition,Parameters,D,Parameters
5,1,The values which are passed to a function definition are called,Arguments,Subroutines,Function,Definition,A,Arguments
6,1,Which of the following are mandatory to write the type annotations in the function definition?,{ },( ),[ ],< >,B,( )
7,1,Which of the following defines what an object can do?,Operating System,Compiler,Interface,Interpreter,C,Interface
8,1,Which of the following carries out the instructions defined in the interface?,Operating System,Compiler,Implementation,Interpreter,C,Implementation
9,1,The functions which will give exact result when same arguments are passed are called,Impure functions,Partial Functions,Dynamic Functions,Pure functions,D,Pure functions
10,1,The functions which cause side effects to the arguments passed are called,impure function,Partial Functions,Dynamic Functions,Pure functions,A,impure function
11,2,Which of the following functions that build the abstract data type?,Constructors,Destructors,recursive,Nested,A,Constructors
12,2,Which of the following functions that retrieve information from the data type?,Constructors,Selectors,recursive,Nested,B,Selectors
13,2,The data structure which is a mutable ordered sequence of elements is called,Built in,List,Tuple,Derived data,B,List
14,2,A sequence of immutable objects is called,Built in,List,Tuple,Derived data,C,Tuple
15,2,The data type whose representation is known are called,Built in datatype,Derived datatype,Concrete datatype,Abstract datatype,C,Concrete datatype
16,2,The data type whose representation is unknown are called,Built in datatype,Derived datatype,Concrete datatype,Abstract datatype,D,Abstract datatype
17,2,Which of the following is a compound structure?,Pair,Triplet,single,quadrat,A,Pair
18,2,Bundling two values together into one can be considered as,Pair,Triplet,single,quadrat,A,Pair
19,2,Which of the following allow to name the various parts of a multi-item object?,Tuples,Lists,Classes,quadrats,C,Classes
20,2,Which of the following is constructed by placing expressions within square brackets?,Tuples,Lists,Classes,quadrats,B,Lists
21,3,Which of the following refers to the visibility of variables in one part of a program to another part of the same program.,Scope,Memory,Address,Accessibility,A,Scope
22,3,The process of binding a variable name with an object is called,Scope,Mapping,late binding,early binding,D,early binding
23,3,Which of the following is used in programming languages to map the variable and object?,::,:=,=,==,B,:=
24,3,Containers for mapping names of variables to objects is called,Scope,Mapping,Binding,Namespaces,D,Namespaces
25,3,Which scope refers to variables defined in current function?,Local Scope,Global scope,Module scope,Function Scope,A,Local Scope
26,3,The process of subdividing a computer program into separate sub-programs is called,Procedural Programming,Modular programming,Event Driven Programming,Object oriented Programming,B,Modular programming
27,3,Which of the following security technique that regulates who can use resources in a computing environment?,Password,Authentication,Access control,Certification,C,Access control
28,3,Which of the following members of a class can be handled only from within the class?,Public members,Protected members,Secured members,Private members,D,Private members
29,3,Which members are accessible from outside the class?,Public members,Protected members,Secured members,Private members,A,Public members
30,3,The members that are accessible from within the class and are also available to its sub-classes is called,Public members,Protected members,Secured members,Private members,B,Protected members
31,4,The word comes from the name of a Persian mathematician Abu Ja?far Mohammed ibn-i Musa al Khowarizmi is called?,Flowchart,Flow,Algorithm,Syntax,C,Algorithm
32,4,From the following sorting algorithms which algorithm needs the minimum number of swaps?,Bubble sort,Insertion sort,Selection sort,All the above,C,Selection sort
33,4,Two main measures for the efficiency of an algorithm are,Processor and memory,Complexity and capacity,Time and space,Data and space,C,Time and space
34,4,The algorithm that yields expected output for a valid input in called as,Algorithmic solution,Algorithmic outcomes,Algorithmic problem,Algorithmic coding,A,Algorithmic solution
35,4,Which of the following is used to describe the worst case of an algorithm?,Big A,Big S,Big W,Big O,D,Big O
36,4,Big ê is the reverse of,Big O,Big ?,Big A,Big S,A,Big O
37,4,Binary search is also called as,Linear search,Sequential search,Random search,Half-interval search,D,Half-interval search
38,4,The é notation in asymptotic evaluation represents,Base case,Average case,Worst case,NULL case,B,Average case
39,4,"If a problem can be broken into subproblems which are reused several times, the problem possesses which property?",Overlapping subproblems,Optimal substructure,Memoization,Greedy,A,Overlapping subproblems
40,4,"In dynamic programming, the technique of storing the previously calculated values is called?",Saving value property,Storing value property,Memoization,Mapping,C,Memoization
41,5,Who developed Python?,Ritche,Guido Van Rossum,Bill Gates,Sunder Pitchai,B,Guido Van Rossum
42,5,The Python prompt indicates that Interpreter is ready to accept instruction.,>>>,<<<,#,<<,A,>>>
43,5,Which of the following shortcut is used to create new Python Program?,Ctrl + C,Ctrl + F,Ctrl + B,Ctrl + N,D,Ctrl + N
44,5,Which of the following character is used to give comments in Python Program?,#,&,@,$,A,#
45,5,This symbol is used to print more than one item on a single line.,Semicolon(;),Dollor($),"comma(,)",Colon(:),C,"comma(,)"
46,5,Which of the following is not a token?,Interpreter,Identifiers,Keyword,Operators,A,Interpreter
47,5,Which of the following is not a Keyword in Python?,break,while,continue,operators,D,operators
48,5,Which operator is also called as Comparative operator?,Arithmetic,Relational,Logical,Assignment,B,Relational
49,5,Which of the following is not Logical operator?,and,or,not,Assignment,D,Assignment
50,5,Which operator is also called as Conditional operator?,Ternary,Relational,Logical,Assignment,A,Ternary
51,6,How many important control structures are there in Python?,3,4,5,6,A,3
52,6,elif can be considered to be abbreviation of,nested if,if..else,else if,if..elif,C,else if
53,6,What plays a vital role in Python programming?,Statements,Control,Structure,Indentation,D,Indentation
54,6,Which statement is generally used as a placeholder?,continue,break,pass,goto,C,pass
55,6,The condition in the if statement should be in the form of,Arithmetic or Relational expression,Arithmetic or Logical expression,Relational or Logical expression,Arithmetic,C,Relational or Logical expression
56,6,Which of the following is known as definite loop?,do..while,while,for,if..elif,C,for
57,6,"What is the output of the following snippet? i=1; while True: if i%3 ==0: break; print(i,end=' '); i +=1",12,123,1234,124,B,123
58,6,What is the output of the following snippet? T=1; while T: print(True); break,FALSE,TRUE,0,1,B,TRUE
59,6,Which amongst this is not a jump statement?,for,pass,continue,break,A,for
60,6,Which punctuation should be used in the blank? if <condition>_ statements-block 1 else:,;, :,::,!,B, :
61,7,A named blocks of code that are designed to do one specific job is called as,Loop,Branching,Function,Block,C,Function
62,7,A Function which calls itself is called as,Built-in,Recursion,Lambda,return,B,Recursion
63,7,Which function is called anonymous un-named function,Lambda,Recursion,Function,define,A,Lambda
64,7,Which of the following keyword is used to begin the function block?,define,for,finally,def,D,def
65,7,Which of the following keyword is used to exit a function block?,define,return,finally,def,B,return
66,7,While defining a function which of the following symbol is used.,; (semicolon),. (dot),: (colon),$ (dollar),C,: (colon)
67,7,In which arguments the correct positional order is passed to a function?,Required,Keyword,Default,Variable-length,A,Required
68,7,"Read the following statement and choose the correct statement(s). (I) In Python, you don?t have to mention the specific data types while defining function. (II) Python keywords can be used as function name.",I is correct and II is wrong,Both are correct,I is wrong and II is correct,Both are wrong,A,I is correct and II is wrong
69,7,"Pick the correct one to execute the given statement successfully: if ____ : print(x, "" is a leap year"")",x%2=0,x%4==0,x/4=0,x%4=0,B,x%4==0
70,7,Which of the following keyword is used to define the function testpython(): ?,define,pass,def,while,C,def
71,8,"Which of the following is the output of the following python code? str1=""TamilNadu""; print(str1[::-1])",Tamilnadu,Tmlau,udanlimaT,udaNlimaT,C,udanlimaT
72,8,"What will be the output of the following code? str1 = ""Chennai Schools""; str1[7] = ""-""",Chennai-Schools,Chenna-School,Type error,Chennai,C,Type error
73,8,Which of the following operator is used for concatenation?,+,&,*,=,A,+
74,8,Defining strings within triple quotes allows creating:,Single line Strings,Multiline Strings,Double line Strings,Multiple Strings,B,Multiline Strings
75,8,Strings in python:,Changeable,Mutable,Immutable,flexible,C,Immutable
76,8,Which of the following is the slicing operator?,{ },[ ],< >,( ),B,[ ]
77,8,What is stride?,index value of slide operation,first argument of slice operation,second argument of slice operation,third argument of slice operation,D,third argument of slice operation
78,8,Which of the following formatting character is used to print exponential notation in upper case?,%f,%E,%g,%n,B,%E
79,8,Which of the following is used as placeholders or replacement fields which get replaced along with format( ) function?,{ },< >,++,^^,A,{ }
